ts,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Flow_Rate,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Pump_Stop_Level,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.FIT_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.LIT_30_01,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UCR_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SC_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.PSH_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.YA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Sts_Auto,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Power_Failure
2024-06-19 16:50:56,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:50:58,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:00,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:03,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:05,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:07,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:09,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:12,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:14,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:17,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:19,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:21,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:23,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:26,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:28,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:30,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:33,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:35,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:37,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:39,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:42,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:44,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:46,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:48,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:51,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:53,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:55,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:51:57,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:00,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:02,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:04,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:06,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:09,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:11,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:13,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:15,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:18,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:20,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:22,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:25,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:27,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:29,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:31,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:34,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:36,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:38,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:52:41,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
