ts,Ctrl_MF_Feed_Pumps.PI_Feed_Tank_Level,Ctrl_MF_Feed_Pumps.PI_Hyd_LL_SP,Ctrl_MF_Feed_Pumps.PI_Inlet_Pressure,Ctrl_MF_Feed_Pumps.PI_Inlet_Pressure_SP,Ctrl_MF_Feed_Pumps.PI_Max_Pmp_Speed_SP,Ctrl_MF_Feed_Pumps.PI_Min_Pmp_Speed_SP,Ctrl_MF_Feed_Pumps.PI_Op_Pressure_SP,Ctrl_MF_Feed_Pumps.PI_Pump_1_Assignment,Ctrl_MF_Feed_Pumps.PI_Pump_1_Speed_Fbk,Ctrl_MF_Feed_Pumps.PI_Pump_1_Sts_Running,Ctrl_MF_Feed_Pumps.PI_Pump_2_Assignment,Ctrl_MF_Feed_Pumps.PI_Pump_2_Speed_Fbk,Ctrl_MF_Feed_Pumps.PI_Pump_2_Sts_Running,Ctrl_MF_Feed_Pumps.PI_Pump_3_Assignment,Ctrl_MF_Feed_Pumps.PI_Pump_3_Speed_Fbk,Ctrl_MF_Feed_Pumps.PI_Pump_3_Sts_Running,Ctrl_MF_Feed_Pumps.PI_Start_Pmps_Delay_SP,Ctrl_MF_Feed_Pumps.PI_Stop_Pmps_Delay_SP,Ctrl_MF_Feed_Pumps.PI_Sts_Auto,Ctrl_MF_Feed_Pumps.PO_Lead_Lag_Demand_Set,Ctrl_MF_Feed_Pumps.PO_LLS_Prog_Cmd,Ctrl_MF_Feed_Pumps.PO_LLS_Start_Cmd,Ctrl_MF_Feed_Pumps.PO_Pump_1_Speed_Cmd,Ctrl_MF_Feed_Pumps.PO_Pump_2_Speed_Cmd,Ctrl_MF_Feed_Pumps.PO_Pump_3_Speed_Cmd,Ctrl_MF_Feed_Pumps.PO_Stop_LLS_Cmd
2024-06-27 13:43:05,14.441035270690918,0.0,85.16988372802734,100.0,95.0,60.0,True,1,50.747554779052734,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,50.77226638793945,0.0,0.0,False
2024-06-27 13:43:08,14.439410209655762,0.0,88.11864471435547,100.0,95.0,60.0,True,1,49.71388244628906,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,49.733680725097656,0.0,0.0,False
2024-06-27 13:43:11,14.480295181274414,0.0,91.83902740478516,100.0,95.0,60.0,True,1,48.34144973754883,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,48.35504913330078,0.0,0.0,False
2024-06-27 13:43:14,14.873289108276367,0.0,95.5920181274414,100.0,95.0,60.0,True,1,48.42304992675781,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,46.93232727050781,0.0,0.0,False
2024-06-27 13:43:17,14.840973854064941,0.0,99.84944915771484,100.0,95.0,60.0,True,1,46.96906661987305,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,45.269893646240234,0.0,0.0,False
2024-06-27 13:43:20,15.524223327636719,0.0,103.9823989868164,100.0,95.0,60.0,True,1,45.27115249633789,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,43.61478042602539,0.0,0.0,False
2024-06-27 13:43:23,15.326837539672852,0.0,108.06591033935547,100.0,95.0,60.0,True,1,43.58159255981445,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,41.93814468383789,0.0,0.0,False
2024-06-27 13:43:26,15.508159637451172,0.0,111.68775177001953,100.0,95.0,60.0,True,1,41.87092208862305,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,40.405723571777344,0.0,0.0,False
2024-06-27 13:43:30,15.644325256347656,0.0,114.93876647949219,100.0,95.0,60.0,True,1,40.288856506347656,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,38.96626663208008,0.0,0.0,False
2024-06-27 13:43:33,15.831258773803711,0.0,117.32796478271484,100.0,95.0,60.0,True,1,38.84177780151367,True,2,0.0,False,3,0.0,False,60.0,60.0,True,1,True,False,37.85920715332031,0.0,0.0,False
